user_id,Age,Gender,Country,is_plus
23337563,26,Female,Brasil,False
12760943,38,Male,Brasil,False
23895731,27,Male,Brasil,False
13705811,33,Female,Brasil,False
24465513,26,Male,Brasil,False
21660649,42,Female,Brasil,False
24365939,38,Female,Brasil,False
17268459,35,Male,Brasil,False
24609033,29,Male,Brasil,False
24810027,46,Female,Brasil,False
17541481,28,Female,Brasil,False
14904645,24,Female,Brasil,False
6779331,36,Female,Brasil,False
24831813,30,Female,Brasil,False
22835781,25,Male,Brasil,False
13093907,33,Male,Brasil,False
23666001,26,Male,Brasil,False
24587087,41,Female,Brasil,False
23536189,37,Female,Brasil,True
24434159,40,Female,Brasil,False
22981273,46,Female,Brasil,True
6189509,30,Male,Brasil,False
23848423,46,Male,Brasil,False
24683909,20,Male,Brasil,False
9434813,37,Male,Brasil,False
22699109,29,Female,Brasil,False
19766267,26,Female,Brasil,False
17591377,34,Male,Brasil,False
23436323,28,Female,Brasil,False
24810819,28,Female,Brasil,False
23423727,25,Female,Brasil,False
24830565,30,Female,Brasil,False
24853201,26,Male,Brasil,False
22424865,29,Female,Brasil,False
7147827,24,Female,Brasil,False
10853167,42,Female,Brasil,False
7690599,41,Male,Brasil,False
13431281,36,Female,Brasil,False
4387075,40,Female,Brasil,False
20769719,51,Male,Brasil,False
21958431,21,Male,Brasil,False
6514597,39,Female,Brasil,False
24781293,21,Female,Brasil,False
23326027,39,Female,Brasil,False
24847725,21,Male,Brasil,False
24103953,27,Male,Brasil,False
22662041,39,Male,Brasil,False
7796127,27,Male,Brasil,False
23255575,21,Female,Brasil,False
23511875,51,Female,Brasil,False
24696013,32,Female,Brasil,False
24782725,19,Female,Brasil,False
24830445,37,Female,Brasil,False
20767819,30,Male,Brasil,False
17831839,28,Female,Brasil,False
24190227,31,Female,Brasil,False
3075297,30,Female,Brasil,False
17520731,22,Female,Brasil,False
24819667,21,Female,Brasil,False
8097173,30,Female,Brasil,False
17512009,35,Male,Brasil,False
23528585,21,Male,Brasil,False
17099083,29,Female,Brasil,False
10826355,29,Female,Brasil,False
24791437,42,Male,Brasil,False
6163445,42,Female,Brasil,False
11702171,39,Female,Brasil,True
7334379,43,Female,Brasil,False
17549887,35,Female,Brasil,False
10515729,26,Female,Brasil,False
9674805,38,Female,Brasil,False
5767781,25,Female,Brasil,False
21760075,30,Female,Brasil,False
